nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,passes_default_gate
0.9650047536685463,0.9620674275984166,0.4306440943988023,0.6490000000000001,0,0.2304143610360829,0.9749832533126045,0.2241758853737029,810,0.9801315324356135,router_q0.80_s0.00010_cap0.00500,0.8,0.0001,0.005,-2.9751116365828167e-05,9.120423574093817e-06,1.0959594885256996e-05,True,True,True
0.9650047536685463,0.9620674275984166,0.4306440943988023,0.6490000000000001,0,0.2304143610360829,0.9749832533126045,0.2241758853737029,810,0.9801315324356135,router_q0.80_s0.00010_cap0.00750,0.8,0.0001,0.0075,-2.9751116365828167e-05,9.120423574093817e-06,1.0959594885256996e-05,True,True,True
0.9650047536685463,0.9620674275984166,0.4306440943988023,0.6490000000000001,0,0.2304143610360829,0.9749832533126045,0.2241758853737029,810,0.9801315324356135,router_q0.80_s0.00010_cap0.01000,0.8,0.0001,0.01,-2.9751116365828167e-05,9.120423574093817e-06,1.0959594885256996e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00010,0.85,0.0001,0.0001,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00020,0.85,0.0001,0.0002,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00030,0.85,0.0001,0.0003,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00050,0.85,0.0001,0.0005,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00075,0.85,0.0001,0.00075,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00100,0.85,0.0001,0.001,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00200,0.85,0.0001,0.002,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00300,0.85,0.0001,0.003,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00500,0.85,0.0001,0.005,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.00750,0.85,0.0001,0.0075,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.965006576345691,0.9620690151371861,0.4306440943988023,0.6490000000000001,0,0.23041486858877952,0.9749860343113591,0.22417650331432457,638,0.980133505684158,router_q0.85_s0.00010_cap0.01000,0.85,0.0001,0.01,-2.7928439221169832e-05,8.612870877472423e-06,1.0341654263584799e-05,True,True,True
0.9650091868726604,0.9620707209086827,0.4306440943988023,0.6490000000000001,0,0.23041557614520294,0.9749894351977818,0.22417738765373468,436,0.9801358461704984,router_q0.90_s0.00020_cap0.00010,0.9,0.0002,0.0001,-2.5317912251798802e-05,7.905314454048629e-06,9.457314853467125e-06,True,True,True
0.9650091868726604,0.9620707209086827,0.4306440943988023,0.6490000000000001,0,0.23041557614520294,0.9749894351977818,0.22417738765373468,436,0.9801358461704984,router_q0.90_s0.00030_cap0.00010,0.9,0.0003,0.0001,-2.5317912251798802e-05,7.905314454048629e-06,9.457314853467125e-06,True,True,True
