nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,ablation_only
0.9632721909508224,0.9613140584197097,0.4306440943988023,0.6490000000000001,0,0.22988915679535468,0.9724487466282299,0.2235436402599389,810,0.9784762966407242,router_q0.80_s0.0100_cap0.0050,0.8,0.01,0.005,-0.001762313834089757,0.0005343246643023103,0.0006432047086492587,True,False,True
0.9633402072881744,0.9613674274853188,0.4306440943988023,0.6490000000000001,0,0.22990824254599973,0.9725472076951045,0.2235668974118185,810,0.9785453551280143,router_q0.80_s0.0075_cap0.0050,0.8,0.0075,0.005,-0.0016942974967377733,0.0005152389136572622,0.00061994755676964,True,False,True
0.9634517881272939,0.961470606470384,0.4306440943988023,0.6490000000000001,0,0.22993919790211972,0.9727226604147369,0.2236045678755464,638,0.9786706216057237,router_q0.85_s0.0100_cap0.0050,0.85,0.01,0.005,-0.0015827166576182217,0.00048428355753726837,0.0005822770930417609,True,False,True
0.9634769080740262,0.9614864928930339,0.4306440943988023,0.6490000000000001,0,0.22994630899824303,0.9727557826016963,0.22361324295844323,638,0.9786933487688387,router_q0.85_s0.0075_cap0.0050,0.85,0.0075,0.005,-0.0015575967108859556,0.0004771724614139605,0.0005736020101449191,True,False,True
0.9634886551669759,0.9614380620468531,0.4306440943988023,0.6490000000000001,0,0.22995195508722469,0.9727539756066073,0.22361936004347158,972,0.9786834291674008,router_q0.75_s0.0050_cap0.0050,0.75,0.005,0.005,-0.0015458496179362458,0.0004715263724323071,0.0005674849251165737,True,False,True
0.9634886551669759,0.9614380620468531,0.4306440943988023,0.6490000000000001,0,0.22995195508722469,0.9727539756066073,0.22361936004347158,972,0.9786834291674008,router_q0.75_s0.0050_cap0.0075,0.75,0.005,0.0075,-0.0015458496179362458,0.0004715263724323071,0.0005674849251165737,True,False,True
0.9634886551669759,0.9614380620468531,0.4306440943988023,0.6490000000000001,0,0.22995195508722469,0.9727539756066073,0.22361936004347158,972,0.9786834291674008,router_q0.75_s0.0050_cap0.0100,0.75,0.005,0.01,-0.0015458496179362458,0.0004715263724323071,0.0005674849251165737,True,False,True
0.9635469489666172,0.9614985787598693,0.4306440943988023,0.6490000000000001,0,0.22996746028095028,0.972839871721646,0.22363886522432544,810,0.9787450050401006,router_q0.80_s0.0050_cap0.0050,0.8,0.005,0.005,-0.001487555818294961,0.000456021178706717,0.000547979744262711,True,False,True
0.9635469489666172,0.9614985787598693,0.4306440943988023,0.6490000000000001,0,0.22996746028095028,0.972839871721646,0.22363886522432544,810,0.9787450050401006,router_q0.80_s0.0050_cap0.0075,0.8,0.005,0.0075,-0.001487555818294961,0.000456021178706717,0.000547979744262711,True,False,True
0.9635469489666172,0.9614985787598693,0.4306440943988023,0.6490000000000001,0,0.22996746028095028,0.972839871721646,0.22363886522432544,810,0.9787450050401006,router_q0.80_s0.0050_cap0.0100,0.8,0.005,0.01,-0.001487555818294961,0.000456021178706717,0.000547979744262711,True,False,True
0.9636380828238519,0.961577955698346,0.4306440943988023,0.6490000000000001,0,0.22999283791577918,0.972978921659374,0.22366976225540855,638,0.978843667467317,router_q0.85_s0.0050_cap0.0050,0.85,0.005,0.005,-0.001396421961060268,0.00043064354387781223,0.0005170827131796008,True,False,True
0.9636380828238519,0.961577955698346,0.4306440943988023,0.6490000000000001,0,0.22999283791577918,0.972978921659374,0.22366976225540855,638,0.978843667467317,router_q0.85_s0.0050_cap0.0075,0.85,0.005,0.0075,-0.001396421961060268,0.00043064354387781223,0.0005170827131796008,True,False,True
0.9636380828238519,0.961577955698346,0.4306440943988023,0.6490000000000001,0,0.22999283791577918,0.972978921659374,0.22366976225540855,638,0.978843667467317,router_q0.85_s0.0050_cap0.0100,0.85,0.005,0.01,-0.001396421961060268,0.00043064354387781223,0.0005170827131796008,True,False,True
0.9637201471761175,0.9617443047347365,0.4306440943988023,0.6490000000000001,0,0.23000669540265004,0.9730700912650923,0.22368891892737225,234,0.978927678205228,router_q0.95_s0.0075_cap0.0075,0.95,0.0075,0.0075,-0.001314357608794614,0.00041678605700695703,0.0004979260412159014,True,False,True
0.9637201471761175,0.9617443047347365,0.4306440943988023,0.6490000000000001,0,0.23000669540265004,0.9730700912650923,0.22368891892737225,234,0.978927678205228,router_q0.95_s0.0075_cap0.0100,0.95,0.0075,0.01,-0.001314357608794614,0.00041678605700695703,0.0004979260412159014,True,False,True
0.9637201471761175,0.9617443047347365,0.4306440943988023,0.6490000000000001,0,0.23000669540265004,0.9730700912650923,0.22368891892737225,234,0.978927678205228,router_q0.95_s0.0100_cap0.0075,0.95,0.01,0.0075,-0.001314357608794614,0.00041678605700695703,0.0004979260412159014,True,False,True
0.9637686091723177,0.9616632442731686,0.4306440943988023,0.6490000000000001,0,0.23002821573695223,0.9731489659805149,0.22371397922591596,436,0.9789606917843476,router_q0.90_s0.0075_cap0.0050,0.9,0.0075,0.005,-0.001265895612594492,0.0003952657227047629,0.0004728657426721905,True,False,True
0.9637686091723177,0.9616632442731686,0.4306440943988023,0.6490000000000001,0,0.23002821573695223,0.9731489659805149,0.22371397922591596,436,0.9789606917843476,router_q0.90_s0.0100_cap0.0050,0.9,0.01,0.005,-0.001265895612594492,0.0003952657227047629,0.0004728657426721905,True,False,True
0.9637978250905632,0.9615662569891599,0.4306440943988023,0.6490000000000001,0,0.23004626036171116,0.9732085796440963,0.22373285702849488,972,0.9789787091165354,router_q0.75_s0.0040_cap0.0050,0.75,0.004,0.005,-0.00123667969434893,0.00037722109794582903,0.00045398794009327004,True,False,True
