feature,decile,group_count,route_mass_sum,mean_feature_value,mean_selected_scale,mean_scale_delta,mean_selected_expected_delta_norm,hard_cap_bound_fraction,mean_benefit_term,mean_curvature_delta_term,mean_interference_term
feature_expert_internal_geometry,2,524,56.587128059648805,0.27224698220733673,0.9883295557102307,-0.0004158308376062843,0.22138415168953893,0.2652671755725191,0.7008961362677112,0.05026331705194458,0.2675689160247389
feature_expert_internal_geometry,3,524,63.460474918458324,0.36386549057010004,0.9819626425999097,-0.0008180599407790572,0.24729202728777921,0.19274809160305342,0.7487710260774163,0.07018780904130549,0.3154726965212454
feature_expert_internal_geometry,4,525,64.29574698990513,0.43263416579641734,0.9797369711915659,-0.001720873347347114,0.24351266561190413,0.10476190476190476,0.7197464207137054,0.06802340735027784,0.34753419924293416
feature_expert_internal_geometry,5,524,63.00526723542944,0.49406212972229313,0.975458742307332,-0.002973674815666465,0.22289446143238054,0.04389312977099236,0.6632544419624854,0.06015883679306615,0.37986029850271885
feature_expert_internal_geometry,6,524,58.266008323109844,0.5483832062861909,0.9710242269987056,-0.003934249667024771,0.20629820231457255,0.02862595419847328,0.6459537176043654,0.06047578708622012,0.4006631435166085
feature_expert_internal_geometry,7,525,56.52611097490743,0.6043210480578561,0.9689689675672022,-0.004709939635308085,0.1972588881729336,0.009523809523809525,0.6182107498518123,0.05689432596525565,0.4166615891864263
feature_expert_internal_geometry,8,524,57.14866876293188,0.6711237528899259,0.9629724883610057,-0.006320386694693367,0.19172577062410437,0.003816793893129771,0.6088032221782026,0.06068671924859559,0.46055990891468973
feature_expert_internal_geometry,9,524,53.08324638260319,0.7543198861628294,0.9550545124545243,-0.007654318539984477,0.18043596446665564,0.0019083969465648854,0.6033808979243905,0.0663370296368233,0.5007067601801365
feature_expert_internal_geometry,10,525,41.07724294800479,0.8419047988266233,0.9406857502592119,-0.008829994576536186,0.20877557217365605,0.0,0.576854898717875,0.10270052366049066,0.518990228709376
feature_expert_route_geometry,1,524,18.21477786129788,0.2800566665479512,0.9813699080110124,-0.0005134110751854206,0.18152101205420967,0.3148854961832061,0.4601503299706756,0.048395150235428695,0.15970342532361498
feature_expert_route_geometry,2,524,28.64943052029302,0.3586573523170826,0.9810980087112664,-0.0009623914640341502,0.20030312475645615,0.16221374045801526,0.50727126231318,0.048922168054769684,0.1976913847568996
feature_expert_route_geometry,3,524,36.62933395332178,0.40838318089759074,0.9827157946843347,-0.001228472945612345,0.22629814564198703,0.15839694656488548,0.574420907932348,0.051371435331444504,0.22483571898967183
feature_expert_route_geometry,4,525,36.860184098379726,0.451060247098756,0.975399267621456,-0.00201601842121617,0.22801831981755336,0.10666666666666667,0.575091424732713,0.06724603574679372,0.26404482274336905
feature_expert_route_geometry,5,524,42.038919035173095,0.4886381163276945,0.9727145557193307,-0.0031055490736997715,0.20064058587662864,0.08206106870229007,0.5597803486182472,0.05724289696915176,0.3017061249554358
feature_expert_route_geometry,6,524,48.759965861272924,0.5236984157856243,0.9717737800271112,-0.003063927203560773,0.22543670824548548,0.09732824427480916,0.6292195515979595,0.07050814562165178,0.3223050922915021
feature_expert_route_geometry,7,525,54.803738622218404,0.561489792372542,0.9708207631466216,-0.0035979766422666055,0.20936562899778544,0.06285714285714286,0.625023963896059,0.06563694872911417,0.3522239134502697
feature_expert_route_geometry,8,524,60.600338274072854,0.5991072875414497,0.968772914478492,-0.004035788006799179,0.20981748616072227,0.08969465648854962,0.6444100111823583,0.06861514967537236,0.37396662726981184
feature_expert_route_geometry,9,524,87.17390555217847,0.6482462956721712,0.9707472320471613,-0.004454366809870902,0.21852671412352104,0.09351145038167939,0.6944720060037701,0.06653903333346968,0.41544871708281045
feature_expert_route_geometry,10,525,162.26940622179063,0.7586301785467415,0.9734148577474292,-0.0045371010394295854,0.21577901903101118,0.045714285714285714,0.7954652364838437,0.05865483805922324,0.5018492026323529
feature_router_instability,1,524,57.681340374377996,0.05803667606081242,0.9933275619887489,2.228376059307263e-05,0.2045008955158998,0.37595419847328243,0.628177684798685,0.03722154672816752,0.2080075548319239
feature_router_instability,2,524,58.90233362577343,0.29653938494459203,0.9905092182745496,-0.0006277246709724809,0.20647056936093824,0.2652671755725191,0.6506557922194709,0.041637608919451834,0.24432714686370452
feature_router_instability,3,524,56.20064063757653,0.4781251531434228,0.985167587815865,-0.0013819259477338612,0.22191698155236794,0.09732824427480916,0.6539474045340422,0.05319070761427911,0.3054454273895078
feature_router_instability,4,525,56.89888220569278,0.5619763547797401,0.9840311785094533,-0.0017035055289693752,0.20042800354037332,0.21142857142857144,0.6654548729565475,0.04677002670106275,0.2984058274712784
feature_router_instability,5,524,57.906545205871595,0.6467176264252348,0.9783371062363577,-0.0026448715103519252,0.2062605228151977,0.10305343511450382,0.666353547984997,0.05331182789135082,0.34996333644700345
feature_router_instability,6,524,57.65397420033374,0.7014054287354332,0.9732196761978449,-0.0032294914467881127,0.2188353696037131,0.09541984732824428,0.6603102911421548,0.06512836246390344,0.37137493838270913
feature_router_instability,7,525,58.39985693359743,0.7816174243301519,0.9597563450856287,-0.006165057953196084,0.21699292159958752,0.01904761904761905,0.6698935855560739,0.07355469240243775,0.47954133310127733
feature_router_instability,8,524,57.3183182495803,0.8189472402398695,0.9572742121337369,-0.006136466776473333,0.22155432125269212,0.0057251908396946565,0.6701692690112072,0.08041203957672749,0.48152904934323926
feature_router_instability,9,524,57.27724244627024,0.8849131224622931,0.956044389794685,-0.006399245315539513,0.22218447372835523,0.01717557251908397,0.6746166779219176,0.0833335147755997,0.4888718036225804
feature_router_instability,10,525,57.76086612092476,0.9423421285779727,0.9567475628283238,-0.006484350315851125,0.22380947429840536,0.022857142857142857,0.6974503881052387,0.08295690426754833,0.49754738981646157
feature_subspace_conflict,1,524,62.796013390750296,0.14344216952163924,0.9956185262494543,-4.7705635781210066e-05,0.20937141330978545,0.5629770992366412,0.7025035635924388,0.03406916531787985,0.19358951315264816
feature_subspace_conflict,2,524,57.58841648543094,0.28284293221695844,0.9878291988252568,-0.0004610501981775876,0.22810186455027007,0.26717557251908397,0.7168674935667924,0.05317699033606762,0.2726726883735284
feature_subspace_conflict,3,524,62.895774193478815,0.374059903665734,0.9817017322886028,-0.0008705468087902022,0.25094113081654496,0.18893129770992367,0.7484656901625008,0.0722359588133456,0.316359436692284
feature_subspace_conflict,4,525,64.66248155643704,0.4431675338746922,0.9801479402213176,-0.0016281184796784723,0.23972524661498457,0.10285714285714286,0.70856447671736,0.06587115023410794,0.3425050921115849
feature_subspace_conflict,5,524,62.6194125731979,0.5071302487032807,0.9752508194127117,-0.00306609154703553,0.21978091129426378,0.04961832061068702,0.6633683298395113,0.0587831422416446,0.38280014528331324
feature_subspace_conflict,6,524,58.86446589538555,0.5651845114298308,0.970852518934702,-0.00394210565657674,0.21100367310644758,0.02480916030534351,0.6502230556046649,0.06320996424698472,0.4027123261009043
feature_subspace_conflict,7,525,56.908897953466976,0.6242354034548256,0.9686650437988344,-0.00485866897936649,0.19277941594684345,0.011428571428571429,0.6136620382863812,0.05569511709675984,0.41859910512451515
