case_type,layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,prior_scale,selected_scale,scale_delta,delta_norm,selected_expected_delta_norm,benefit_score,curvature_score,interference_score,benefit_term,curvature_delta_term,interference_term,solver_gradient_at_prior,objective_unconstrained_scale,hard_cap_scale,mechanistic_binding,mechanistic_reason,trust_risk_flags,tensor_pattern
benefit_gradient_restored,1,114,0.3620051055729582,instruct,general,0.9970856114721414,0.9996700586331088,0.002584447160967396,0.2334992528198405,0.23342221175719702,0.4448068406429376,0.4357572236880082,0.324585557769331,0.898931287060847,0.0402520066832129,0.3661428772414477,0.12864500108321886,1.1636082172914808,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.1\..*experts\.114\..*
benefit_gradient_restored,9,114,0.3562177931449341,instruct,general,0.9982282739737712,0.9984070546550357,0.00017878068126442326,0.2137212227938306,0.21338077656686108,0.4309163927003892,0.5005241667092755,0.3729043491659212,0.876012047955642,0.03771564990548573,0.4150656535304953,0.00970267802960667,1.0094084457214743,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.9\..*experts\.114\..*
benefit_gradient_restored,47,105,0.3473585211020901,instruct,general,0.9895477192601442,0.989617527025045,6.980776490084217e-05,0.2115457408347212,0.20934937289753786,0.4292033608000773,0.4943634160633389,0.3787475746341693,0.8731855453201276,0.036579538078246016,0.4209819193170965,0.003824950623227963,0.9939014606058943,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.47\..*experts\.105\..*
benefit_gradient_restored,31,51,0.3414743627942318,instruct,general,0.9872905132764314,0.9891273017352736,0.0018367884588422756,0.3443215486378319,0.34057784433344945,0.5036429453066142,0.3625923162134306,0.3758367129025099,0.9960108597559134,0.0758173675684924,0.4180346718137914,0.09571376060918335,1.0922528506304219,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.31\..*experts\.51\..*
benefit_gradient_restored,7,31,0.3404607519380875,instruct,general,0.9913654338193564,0.9924341939864844,0.00106876016712798,0.294796172287192,0.2925658016341402,0.4606180489844743,0.4825148235563083,0.3611483344098647,0.9250197808243825,0.06964505975426588,0.4031626885899881,0.05661296860013654,1.0559942913847702,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.7\..*experts\.31\..*
benefit_gradient_restored,36,116,0.3352290431805862,instruct,general,0.993357358030498,0.9949096119172028,0.0015522538867048796,0.3844276982753625,0.38247081210136447,0.5156074189476304,0.4047541344639038,0.3765405581410212,1.01575224126359,0.10291990605430587,0.41874731511778407,0.08158454204120491,1.0801111659449019,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.36\..*experts\.116\..*
benefit_gradient_restored,10,62,0.3336588705602885,instruct,general,0.987236936964812,0.9877959614482168,0.0005590244834048352,0.2803422402877095,0.276920932779545,0.4670005895089212,0.4213470909684565,0.3878817531881643,0.9355509726897199,0.05649322516027558,0.4302302751030165,0.030300336158765262,1.0202814992674871,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.10\..*experts\.62\..*
benefit_gradient_restored,3,115,0.3336250465098487,instruct,general,0.990738661360582,0.9918168446108092,0.0010781832502272382,0.2598948674902486,0.2577681074047227,0.4460962129429591,0.4802233440609101,0.3570779421574975,0.9010587513558824,0.0539215489327882,0.3990414164344662,0.056945070656295504,1.057575255012688,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.3\..*experts\.115\..*
benefit_gradient_restored,32,57,0.3305524780882812,instruct,general,0.9949910873776292,0.9956428681898776,0.0006517808122483704,0.1678494170515251,0.16711807501717937,0.414018944585443,0.4597609064286713,0.3559688243606119,0.848131258565981,0.02171261835123567,0.39791843466511956,0.034676804832766694,1.037406629623406,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.32\..*experts\.57\..*
benefit_gradient_restored,30,110,0.3295254839015263,instruct,general,0.986993157326155,0.9874324004644964,0.0004392431383414275,0.3231508616061613,0.31908963098794213,0.4878437162992058,0.4035940258772476,0.4004149552976471,0.9699421318936896,0.07256094123945064,0.4429201422388678,0.02400668013782703,1.0120418316116688,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.30\..*experts\.110\..*
