left_digit,right_digit,cosine,sign_conflict,weighted_conflict,max_layer_weighted_conflict,base_left_acc,base_right_acc,base_worst_acc,left_expert_left_acc,left_expert_right_acc,right_expert_left_acc,right_expert_right_acc,oracle_worst_acc,linear_left_acc,linear_right_acc,linear_avg_acc,linear_worst_acc,linear_avg_loss,linear_worst_loss,linear_drop_from_base,linear_drop_from_oracle,ties_worst_acc,dare_worst_acc
2,6,0.09547270545936885,0.39432141184806824,0.4336337889430881,0.5386738308320478,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05014769179480416,0.07100069522857666,0.0,0.0,1.0,1.0
2,7,0.0965285134710402,0.42532652616500854,0.43634182224310736,0.5616240053224535,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04598462231575497,0.05493951506084866,-0.05555555555555558,0.0,1.0,1.0
2,8,0.12230650601181924,0.3869960308074951,0.42319517049983507,0.4569876044657291,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.1273599522454398,0.21547955104282923,-0.02857142857142858,0.05714285714285716,0.0,0.9428571428571428
2,9,0.051894186752849666,0.4434412121772766,0.4676856438411631,0.6586160798566502,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020706000522015586,0.021888433231247797,-0.02777777777777779,0.0,0.7777777777777778,1.0
3,4,0.09640335249076275,0.41272005438804626,0.43623348815238877,0.6160025568176812,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010200964583380445,0.014205449336283916,0.0,0.0,0.972972972972973,1.0
3,5,0.04456511315284804,0.47018739581108093,0.4719351532986473,0.6538203105008744,1.0,0.9459459459459459,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0683643503769024,0.11796077522071632,-0.05405405405405406,0.0,0.08108108108108109,1.0
3,6,0.04741304894515649,0.4408290684223175,0.4671242046728693,0.7066903631881257,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02063470541893899,0.03829609354337057,0.0,0.0,0.972972972972973,1.0
3,7,0.05296302386226155,0.46706417202949524,0.46598315695998344,0.574634355620907,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06123417204206771,0.09729545646243626,-0.05555555555555558,0.0,0.24324324324324326,1.0
3,8,0.06708349379052067,0.4488358795642853,0.4585297313175165,0.5613132738200118,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.1384857921526699,0.19983480998447964,-0.05714285714285716,0.02857142857142858,0.6857142857142857,0.9714285714285714
3,9,0.0958953259374938,0.4391822814941406,0.4424558089383612,0.5469086496677736,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,0.8611111111111112,0.9305555555555556,0.8611111111111112,0.1725360590058404,0.3122382164001465,0.11111111111111105,0.13888888888888884,0.2222222222222222,0.8611111111111112
