ablation,layer_id,expert_id,dominant_source,dominant_category,route_mass,baseline_scale,ablated_scale,scale_shift,abs_scale_shift,audit_max_relative_delta_norm,benefit_score,curvature_score,interference_score,feature_subspace_conflict,feature_expert_internal_geometry,feature_router_instability,trust_risk_flags,mechanistic_reason
no_delta_pressure,3,52,coder,code,0.013284703801945,0.7833345204702238,0.7924506428098621,0.009116122339638322,0.009116122339638322,0.8189784510727173,0.7076739202971284,0.42293041220089733,0.17252704341049657,0.2579528571668809,0.228305728558182,0.4350035465175917,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,2,17,coder,code,0.013284703801945,0.6661015767497289,0.675208407806177,0.00910683105644805,0.00910683105644805,0.9354932013077024,0.7076739202971284,0.48188599141594474,0.1869685625390977,0.4639784876842324,0.4397776680308965,0.1538281911441329,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,40,116,coder,code,0.013284703801945,0.7482373001082312,0.7573244021456229,0.009087102037391714,0.009087102037391714,0.8569643314823578,0.7076739202971284,0.4070639046570677,0.14562776784109577,0.2995635892650675,0.3078810334856863,0.1297481655708611,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,8,95,coder,code,0.0084770114942528,0.7333331250773514,0.7423481622957937,0.009015037218442323,0.009015037218442323,0.8628565055135364,0.7032206714587468,0.46442821623883823,0.1869469797997256,0.3352511699081891,0.3309151598702179,0.4084333256168654,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,0,56,coder,agentic_code,0.0265694076038903,0.6607346070344237,0.6697130635926504,0.00897845655822671,0.00897845655822671,0.9349860145249838,0.5999792193861739,0.5013999445594903,0.12519288402850542,0.5175149311731875,0.4918351588306831,0.0180180166030063,delta_above_base_cap,balanced
no_delta_pressure,0,90,coder,code,0.0174513704686118,0.6826070927032469,0.6914865699852553,0.00887947728200833,0.00887947728200833,0.905437054506789,0.7115334026237259,0.49761912878641457,0.18732229835778355,0.532415888106458,0.5053495824156617,0.0180180166030063,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,39,110,coder,code,0.013284703801945,0.65843676752796,0.6672322556302545,0.008795488102294469,0.008795488102294469,0.9448016814928588,0.7076739202971284,0.48391354404225867,0.2000494932126911,0.463429832376057,0.4462433713061541,0.2639052157528956,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,46,15,coder,code,0.0091180371352785,0.7670413081956788,0.7758141263573993,0.008772818161720486,0.008772818161720486,0.8326918813368976,0.703814437970531,0.439171912918499,0.20397594761610507,0.2484733419121492,0.2335619673662588,0.7180635387189063,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,37,74,coder,code,0.0086206896551724,0.6404855911047191,0.6492261780121048,0.008740586907385661,0.008740586907385661,0.9608776806951584,0.7033537570562157,0.5005367862429041,0.18835389235664018,0.552037766720713,0.5427494746499071,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,44,63,coder,code,0.0083333333333333,0.7328987778468006,0.7415222984999146,0.008623520653114003,0.008623520653114003,0.8610552079236574,0.703087585861278,0.4604330103018697,0.20414304039396103,0.3411742721289222,0.3364924560388708,0.5403783292781158,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,33,54,coder,code,0.1466290893015029,0.7910866250416715,0.800851143605784,0.009764518564112534,0.009764518564112534,0.8073298534369583,0.8311875921018983,0.5613879371646535,0.21723529620163895,0.3025928809380405,0.339806946641643,0.456035753796126,delta_above_base_cap|high_load_expert|high_load_weight_limit,balanced
no_expert_geometry,2,83,coder,code,0.0270667550839963,0.6608943910751957,0.6705782160276083,0.0096838249524126,0.0096838249524126,0.939968026589662,0.7204399003004891,0.5120342585390271,0.14296206466640513,0.5233878539533228,0.5121080450623271,0.1538281911441329,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,2,33,coder,code,0.0222590627763041,0.7324225402640796,0.7419370807435687,0.009514540479489075,0.009514540479489075,0.8743841800172119,0.7159866514621076,0.4413488690076714,0.10190506788159866,0.3528671551820456,0.34573371237941,0.1538281911441329,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,2,101,coder,code,0.0222590627763041,0.7261382544111462,0.735627526489189,0.009489272078042843,0.009489272078042843,0.8749024290766019,0.7159866514621076,0.45922215359476326,0.1125953650537354,0.398073264445819,0.3870163073009393,0.1538281911441329,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,7,71,coder,code,0.190400140275001,0.736204478475352,0.7450227746072248,0.008818296131872794,0.008818296131872794,0.8487600563468036,0.856791672951728,0.6222130626753919,0.31574170528236595,0.4045155219273737,0.3960768487829409,0.6567167527041571,delta_above_base_cap|high_load_expert|high_load_weight_limit,balanced
no_expert_geometry,8,118,coder,code,0.0265694076038903,0.5399448751620043,0.54871030615897,0.008765430996965695,0.008765430996965695,1.0890032424530072,0.7199792193861739,0.6616930365009439,0.2411175864826117,0.8080706038328592,0.7944774906031498,0.4084333256168654,delta_above_base_cap,balanced
no_expert_geometry,33,109,coder,code,0.0265694076038903,0.5900525161470248,0.5987680158537108,0.008715499706685947,0.008715499706685947,1.0155767486050329,0.7199792193861739,0.6166766226965305,0.22030023928723036,0.6964766551430629,0.683740310297469,0.456035753796126,delta_above_base_cap,balanced
no_expert_geometry,32,0,coder,code,0.0265694076038903,0.6358201646834591,0.6444000103862957,0.008579845702836542,0.008579845702836542,0.961138614101378,0.7199792193861739,0.5718234810068575,0.1989723343370888,0.577639112620699,0.5558089842512616,0.51373391835381,delta_above_base_cap,balanced
no_expert_geometry,5,89,coder,code,0.021761715296198,0.7442313992550877,0.7526280986747098,0.008396699419622067,0.008396699419622067,0.8565118760547469,0.7155259705477922,0.46742309496402706,0.13620486713693294,0.3357494920916978,0.3232566350541558,0.4737979619710419,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,6,120,coder,code,0.0265694076038903,0.5742453938453356,0.5826323359971313,0.008386942151795695,0.008386942151795695,1.0391219479839324,0.7199792193861739,0.6293798624693597,0.23449954796494915,0.714759030403983,0.6865211567080742,0.5381438585904866,delta_above_base_cap,balanced
no_expert_geometry,0,56,coder,agentic_code,0.0265694076038903,0.6607346070344237,0.669119038239322,0.00838443120489829,0.00838443120489829,0.9349860145249838,0.5999792193861739,0.5013999445594903,0.12519288402850542,0.5175149311731875,0.4918351588306831,0.0180180166030063,delta_above_base_cap,balanced
no_expert_geometry,6,112,coder,code,0.0398541114058355,0.5432062990650415,0.5515815153859533,0.008375216320911871,0.008375216320911871,1.0626542051078405,0.7322845184752194,0.7168332378136265,0.2868119756608336,0.9198437623832112,0.8858575751791653,0.5381438585904866,delta_above_base_cap,shrink_curved_subspace_conflict
