alpha,beta,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.19999999999999996,0.5,2.085892740885417,1.4487887841683846,0.18333333333333332,0.4444444444444444,1.7673407625269006,2.085892740885417,0.3138888888888889,0.18333333333333332
0.19999999999999996,0.575,2.4737035963270397,1.4140018039279514,0.08472222222222223,0.4638888888888889,1.9438527001274957,2.4737035963270397,0.2743055555555556,0.08472222222222223
0.19999999999999996,0.6499999999999999,2.933480750189887,1.386341956809715,0.02361111111111111,0.4685185185185185,2.159911353499801,2.933480750189887,0.2460648148148148,0.02361111111111111
0.19999999999999996,0.725,3.4468679640028212,1.364982435438368,0.002777777777777778,0.47314814814814815,2.4059251997205946,3.4468679640028212,0.23796296296296296,0.002777777777777778
0.19999999999999996,0.8,3.9880499945746526,1.3492785630402742,0.0,0.475,2.6686642788074635,3.9880499945746526,0.2375,0.0
0.19999999999999996,0.875,4.532195451524522,1.3392282556604456,0.0,0.4722222222222222,2.935711853592484,4.532195451524522,0.2361111111111111,0.0
0.19999999999999996,0.95,5.061035834418403,1.3349918718691225,0.0,0.47685185185185186,3.1980138531437627,5.061035834418403,0.23842592592592593,0.0
0.19999999999999996,1.025,5.563089497884115,1.3369474057798032,0.0,0.4759259259259259,3.450018451831959,5.563089497884115,0.23796296296296296,0.0
0.19999999999999996,1.0999999999999999,6.032630411783854,1.345232864662453,0.0,0.4759259259259259,3.6889316382231536,6.032630411783854,0.23796296296296296,0.0
0.19999999999999996,1.175,6.466493903266059,1.3599617781462492,0.0,0.462037037037037,3.913227840706154,6.466493903266059,0.2310185185185185,0.0
0.19999999999999996,1.25,6.864940049913194,1.380893396448206,0.0,0.4583333333333333,4.1229167231807,6.864940049913194,0.22916666666666666,0.0
0.275,-0.25,0.9753975762261284,2.4221836655228226,0.6430555555555556,0.1925925925925926,1.6987906208744756,2.4221836655228226,0.41782407407407407,0.1925925925925926
