candidate_id,benefit_gain,curvature_gain,interference_gain,step_size,group_count,scaled_group_count,restored_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,hard_cap_violation_count,nonbase_mass_retention,route_mass_weighted_predicted_delta,risk_weighted_predicted_delta,benefit_weighted_scale,mean_mechanistic_loss_proxy,mean_scale,min_scale,high_benefit_low_risk_group_count,high_benefit_low_risk_mean_scale,high_interference_low_benefit_group_count,high_interference_low_benefit_mean_scale,high_subspace_group_count,high_subspace_mean_scale,mechanistic_objective,passes_hard_cap
s0.04_b1.15_h0.75_i1.25,1.15,0.75,1.25,0.04,5243,5211,22,0.6481153034857761,0.6267464997673589,0,0.9616093649692692,0.21437686226038985,0.2298350396236709,0.9719836173353855,0.028959054640586353,0.9628719315396224,0.4284826134863033,186,0.8524781827400817,314,0.9743820334792129,1139,0.942988059908989,0.19051192143147955,True
s0.04_b0.90_h1.25_i1.00,0.9,1.25,1.0,0.04,5243,5240,1,0.6418973898553869,0.6241992257553661,0,0.9614992624476799,0.21435462470239006,0.22981207716192578,0.9720761306263361,0.028996193006823354,0.9632134740484185,0.4262759946534982,186,0.849733229681716,314,0.9748243684163571,1139,0.9434121750819151,0.19074199895701402,True
s0.04_b1.15_h1.00_i1.25,1.15,1.0,1.25,0.04,5243,5228,9,0.6457094435782175,0.6257208382973758,0,0.9613687927564705,0.214323254919267,0.22977743459779149,0.971807660722556,0.028946773347385435,0.9627258532429569,0.4275538271127234,186,0.8513998896709646,314,0.974263892962884,1139,0.9428482237460835,0.19103912257563627,True
s0.04_b1.15_h1.25_i1.25,1.15,1.25,1.25,0.04,5243,5238,2,0.6436720995966255,0.6248771088664796,0,0.9611493921477813,0.21427438744237912,0.2297246148605312,0.971644593047108,0.028935107443294715,0.9625962252963952,0.4268571908598587,186,0.8505081472266215,314,0.9741507200402055,1139,0.9427254775061887,0.1915199902660006,True
s0.08_b1.40_h1.00_i0.75,1.4,1.0,0.75,0.08,5243,5062,78,0.65,0.6313187419805,0,0.9604035335783344,0.21401338951775026,0.22926249961805087,0.9712304919060504,0.028604737944628564,0.9588786520667666,0.42511176745155266,186,0.857695887835461,314,0.9631706378298069,1139,0.9346884569573842,0.19234344291114633,True
s0.04_b0.90_h0.75_i1.25,0.9,0.75,1.25,0.04,5243,5239,2,0.6441645681736291,0.6250203904460206,0,0.9600911959052714,0.21404289923254485,0.22947820101690156,0.9704807535365704,0.02882815728351,0.9618541873623285,0.42738269873507,186,0.8501694919261735,314,0.9734193168660025,1139,0.942148633008738,0.19393570459222997,True
s0.08_b1.40_h1.25_i0.75,1.4,1.25,0.75,0.08,5243,5102,49,0.65,0.6286101230376581,0,0.9595656532754588,0.21382397227283756,0.22905181518087828,0.9705989807480664,0.028554900301287024,0.9583870524319376,0.42300047653510814,186,0.8548054781990744,314,0.962660034688167,1139,0.9342101758843445,0.19416284292231625,True
s0.12_b1.65_h0.75_i0.75,1.65,0.75,0.75,0.12,5243,4736,220,0.65,0.647819699304981,0,0.9593125459894662,0.21370180211857526,0.22879568175917034,0.969897672696052,0.028176988067936334,0.9541497777824013,0.42905417208433233,186,0.8677687904628437,314,0.9512395248351951,1139,0.9257416068515979,0.1942068338083512,True
s0.04_b0.90_h1.00_i1.25,0.9,1.0,1.25,0.04,5243,5240,1,0.642086379225614,0.624145334009686,0,0.9598827156038757,0.21399647447532977,0.2294282337559046,0.9703276480849571,0.02881739763486541,0.9617283495973878,0.42661100709988053,186,0.8492813842355638,314,0.9733138169781327,1139,0.9420273971548414,0.19439263863397127,True
s0.04_b0.90_h1.25_i1.25,0.9,1.25,1.25,0.04,5243,5240,1,0.6412373942766357,0.6234358798151557,0,0.9596913616409206,0.21395389909419404,0.22938226887067711,0.9701851927949364,0.02880716466648426,0.9616154405474813,0.4260321997611883,186,0.8485204677735928,314,0.9732127445829988,1139,0.9419206969219012,0.1948122387802581,True
s0.12_b1.65_h1.00_i0.75,1.65,1.0,0.75,0.12,5243,4837,145,0.65,0.6399701422399121,0,0.9578809656014712,0.21337302988040022,0.2284228926359008,0.9688565286968106,0.02809272715472571,0.9532717961212273,0.424005655720601,186,0.8633089916062893,314,0.9503479650077101,1139,0.9248071690169859,0.19728100170174528,True
s0.08_b1.65_h0.75_i1.00,1.65,0.75,1.0,0.08,5243,5041,139,0.65,0.6366190791612285,0,0.958109106892106,0.2134972245892551,0.2286929770376032,0.9684778428283284,0.028276161943363607,0.9562670098127568,0.4289655304601169,186,0.8611673679493654,314,0.9599681275041276,1139,0.9319204583527242,0.19750409724723209,True
s0.08_b1.65_h1.00_i1.00,1.65,1.0,1.0,0.08,5243,5098,86,0.65,0.6322217053742015,0,0.9573484014451384,0.21332512560716008,0.22850367653275,0.9679206933523332,0.02823514072698641,0.9557987550720182,0.42608961353589286,186,0.8580298661873436,314,0.9595687327600925,1139,0.9314629258474322,0.19915714207240165,True
s0.08_b1.15_h0.75_i0.75,1.15,0.75,0.75,0.08,5243,5132,69,0.65,0.630574104798114,0,0.9573143314898346,0.21332885335507012,0.22852045907028998,0.9679175729830825,0.028289763135138375,0.9566797448816322,0.42546004664400416,186,0.8560769541644617,314,0.9608927682147146,1139,0.9328661725135861,0.19932450924893508,True
s0.12_b1.65_h1.25_i0.75,1.65,1.25,0.75,0.12,5243,4910,89,0.65,0.6336914267333976,0,0.9565717359196614,0.2130739318226788,0.22808497916848328,0.9678855288765835,0.02801348219149076,0.9524915774015861,0.42038055773340305,186,0.8592478286284311,314,0.9495081376525437,1139,0.9240091854746458,0.2001023235795527,True
s0.08_b1.65_h1.25_i1.00,1.65,1.25,1.0,0.08,5243,5130,59,0.65,0.6295440221208088,0,0.9566590799448466,0.2131696560505102,0.22833243840099748,0.9674074627436806,0.02819659659834733,0.9553854816293934,0.4239757756192781,186,0.8553428053900928,314,0.9591888351187272,1139,0.9310663257969231,0.20065742337774728,True
