layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
1,63,3,0,0.0,0.0,0.65,1.0,False,0.0
1,64,3,0,0.0,0.0,0.65,1.0,False,0.0
1,65,3,3,0.0928550043868943,0.09083415596021267,0.65,1.0,False,0.0928550043868943
1,66,3,3,0.12017655934117,0.11469202873527823,0.65,1.0,False,0.12017655934117
1,67,3,3,0.1441388938828336,0.13929790618376148,0.65,1.0,False,0.1441388938828336
1,68,3,3,0.167631221138417,0.16275760265135422,0.65,1.0,False,0.167631221138417
1,69,3,3,0.3536681216396259,0.34055849368360064,0.65,1.0,False,0.3536681216396259
1,70,3,3,0.1664642061636486,0.1629635366775037,0.65,1.0,False,0.1664642061636486
1,71,3,3,0.2147442900172797,0.20667937895365598,0.65,1.0,False,0.2147442900172797
1,72,3,3,0.1844647375166756,0.17824571759303445,0.65,1.0,False,0.1844647375166756
1,73,3,0,0.0,0.0,0.65,1.0,False,0.0
1,74,3,3,0.4447938000061714,0.43718743429720575,0.65,1.0,False,0.4447938000061714
1,75,3,3,0.3655264989085319,0.3491593564119477,0.65,1.0,False,0.3655264989085319
1,76,3,3,0.3038152243063193,0.2932212453810943,0.65,1.0,False,0.3038152243063193
1,77,3,3,0.1974101943969798,0.19161969158303918,0.65,1.0,False,0.1974101943969798
1,78,3,3,0.2474257256011112,0.24247250352741445,0.65,1.0,False,0.2474257256011112
1,79,3,3,0.6200030926226144,0.6017485136245071,0.65,1.0,False,0.6200030926226144
1,80,3,3,0.1681349995697539,0.1637534631113189,0.65,1.0,False,0.1681349995697539
1,81,3,0,0.0,0.0,0.65,1.0,False,0.0
1,82,3,3,0.2483583906010738,0.24436002031699586,0.65,1.0,False,0.2483583906010738
1,83,3,3,0.3131387004086497,0.30680971614662567,0.65,1.0,False,0.3131387004086497
1,84,3,0,0.0,0.0,0.65,1.0,False,0.0
1,85,3,3,0.2242743688468664,0.21594508057865205,0.65,1.0,False,0.2242743688468664
1,86,3,3,0.1555854650867758,0.15154147607798554,0.65,1.0,False,0.1555854650867758
1,87,3,3,0.1130315254054996,0.11084544342920653,0.65,1.0,False,0.1130315254054996
1,88,3,3,0.256212429261231,0.24710242175161087,0.65,1.0,False,0.256212429261231
1,89,3,3,0.125732970790644,0.12220505256678749,0.65,1.0,False,0.125732970790644
1,90,3,3,0.0903954582874612,0.08913713988442551,0.65,1.0,False,0.0903954582874612
1,91,3,3,0.3714100702560177,0.35527632356053945,0.65,1.0,False,0.3714100702560177
1,92,3,0,0.0,0.0,0.65,1.0,False,0.0
1,93,3,0,0.0,0.0,0.65,1.0,False,0.0
1,94,3,3,0.1410502202401368,0.1380354996613085,0.65,1.0,False,0.1410502202401368
1,95,3,0,0.0,0.0,0.65,1.0,False,0.0
1,96,3,3,0.6114035524132969,0.5980295736165987,0.65,1.0,False,0.6114035524132969
1,97,3,3,0.1427521918823376,0.14142259041499383,0.65,1.0,False,0.1427521918823376
1,98,3,3,0.1349040049760618,0.13063020113272525,0.65,1.0,False,0.1349040049760618
1,99,3,3,0.3459502592851376,0.33647033177631297,0.65,1.0,False,0.3459502592851376
1,100,3,0,0.0,0.0,0.65,1.0,False,0.0
1,101,3,3,0.2276146791054599,0.2199880866853157,0.65,1.0,False,0.2276146791054599
1,102,3,0,0.0,0.0,0.65,1.0,False,0.0
