pattern,layer,expert,old_nonbase_weight,new_nonbase_weight,delta_scale,scaled,max_relative_delta_norm,predicted_max_relative_delta_norm
.*layers\.1\..*experts\.104\..*,1.0,104.0,0.344019,0.344019,1.0,False,0.3769559580512879,0.3769559580512879
.*layers\.1\..*experts\.105\..*,1.0,105.0,0.422414,0.422414,1.0,False,0.4705825405250695,0.4705825405250695
.*layers\.1\..*experts\.106\..*,1.0,106.0,0.129455,0.129455,1.0,False,0.1390730353219709,0.1390730353219709
.*layers\.1\..*experts\.107\..*,1.0,107.0,0.264251,0.264251,1.0,False,0.2717029693129398,0.2717029693129398
.*layers\.1\..*experts\.108\..*,1.0,108.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.109\..*,1.0,109.0,0.23571,0.23571,1.0,False,0.2581675629746576,0.2581675629746576
.*layers\.1\..*experts\.111\..*,1.0,111.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.113\..*,1.0,113.0,0.144232,0.144232,1.0,False,0.1574124674319419,0.1574124674319419
.*layers\.1\..*experts\.114\..*,1.0,114.0,0.221516,0.221516,1.0,False,0.2334992528198405,0.2334992528198405
.*layers\.1\..*experts\.115\..*,1.0,115.0,0.0864414,0.0864414,1.0,False,0.0970758171994286,0.0970758171994286
.*layers\.1\..*experts\.116\..*,1.0,116.0,0.220836,0.220836,1.0,False,0.2384534315012425,0.2384534315012425
.*layers\.1\..*experts\.117\..*,1.0,117.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.118\..*,1.0,118.0,0.175667,0.175667,1.0,False,0.1982906563169437,0.1982906563169437
.*layers\.1\..*experts\.119\..*,1.0,119.0,0.203578,0.203578,1.0,False,0.2274159901676247,0.2274159901676247
.*layers\.1\..*experts\.120\..*,1.0,120.0,0.123032,0.123032,1.0,False,0.1397087402090448,0.1397087402090448
.*layers\.1\..*experts\.121\..*,1.0,121.0,0.286023,0.286023,1.0,False,0.3224536090066249,0.3224536090066249
.*layers\.1\..*experts\.122\..*,1.0,122.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.123\..*,1.0,123.0,0.252888,0.252888,1.0,False,0.270625295400627,0.270625295400627
