group_count,route_mass,weighted_boundary_fragility,weighted_safe_lambda_proxy,weighted_router_instability_feature,weighted_scale,weighted_scale_shrink,weighted_expected_delta,weighted_benefit,weighted_curvature,weighted_interference,layer_id,boundary_fragility_score,safe_lambda_proxy,unsafe_fraction,fragility_rank,router_margin_action,route_mass_weighted_router_undercoverage,route_mass_weighted_router_residual_pressure,router_coupled_risk_sum,top_expert_id
108,11.999999999999973,0.6909916965645018,0.0396018799605637,0.8048417441917518,0.9696115624107414,0.021378658379619685,0.22712484858155824,0.3348132763212421,0.5726340653615031,0.5523122097175173,29,0.6909916965645019,0.0396018799605637,1.0,10,freeze_router_prioritize_calibration,0.009340908837128126,0.003349646190919187,5.668819379192244,83
108,11.999999999999977,0.6413009152389365,0.04999999999999998,0.8648648667515468,0.9687256238762992,0.02106358767366769,0.2267307050518615,0.35366692061129346,0.5877996227307617,0.5613501777192947,23,0.6413009152389366,0.05,1.0,18,freeze_router_prioritize_calibration,0.0,0.0,5.538684239960385,21
105,11.999999999999975,0.6884115111160185,0.0459238885889008,0.7764958971777391,0.9700876816618254,0.019897113554903877,0.22253772894516424,0.3456792918448649,0.5550150416076951,0.5436148244456962,25,0.6884115111160187,0.0459238885889008,1.0,11,freeze_router_prioritize_calibration,0.031200009199046527,0.01606995617995951,5.476220622450098,104
109,11.999999999999973,0.7150612239054778,0.0351509541706301,0.6853191602072622,0.9733350522324551,0.02119058901584214,0.23343268969451192,0.3404155676499474,0.5659556670755507,0.5541974741168597,11,0.7150612239054778,0.0351509541706301,1.0,5,freeze_router_prioritize_calibration,0.1976201039219413,0.0811764283077828,5.343205173089895,21
106,11.999999999999973,0.6094121825788945,0.05000000000000001,0.8947844602274361,0.9733103109535403,0.019768355701720655,0.22591852944260757,0.35401021249528697,0.5540604923176154,0.5431914201050438,28,0.6094121825788945,0.05,1.0,27,freeze_router_prioritize_calibration,0.0,0.0,5.277791353434345,73
107,11.999999999999977,0.6384504703792713,0.0425089811096892,0.8183140979899989,0.9708133192581866,0.0200875596359551,0.2200993813012901,0.35174911324874397,0.5632420426070461,0.5530205052069741,21,0.6384504703792714,0.0425089811096892,1.0,20,freeze_router_prioritize_calibration,0.0,0.0,5.272753170834089,10
105,11.999999999999977,0.6378548894787821,0.05,0.833923189279083,0.9718385745096538,0.019227866714649346,0.21955203546660068,0.35033096532687047,0.5361181238582725,0.5337626970748109,27,0.637854889478782,0.05,1.0,21,freeze_router_prioritize_calibration,0.0,0.0,5.238818040763628,120
107,11.999999999999975,0.6523533636196357,0.05000000000000001,0.7373787146523822,0.9649937158763756,0.019753313080140077,0.23105777192405663,0.3623067690133651,0.5952836020896173,0.5506372566845105,16,0.6523533636196356,0.05,1.0,16,freeze_router_prioritize_calibration,0.0,0.0,5.128824888579631,115
107,11.999999999999977,0.6268139173311605,0.05,0.7835499661653633,0.9750548765626321,0.018521061928108467,0.22028413528074367,0.36719443057174433,0.5427944060838806,0.5389507837681344,26,0.6268139173311607,0.05,1.0,24,freeze_router_prioritize_calibration,0.0,0.0,4.9809989623166935,107
110,11.999999999999982,0.6008843998759511,0.049999999999999996,0.8502874603940247,0.9742979802748876,0.017126330166192607,0.21522391831319673,0.36594430565448355,0.5146188246914426,0.5165994638954172,30,0.6008843998759511,0.05,1.0,28,freeze_router_prioritize_calibration,0.0,0.0,4.9244757696013135,8
