layer_id,expert_id,dominant_source,dominant_category,total_topk_fraction,boundary_fragility_score,safe_lambda_proxy,feature_router_instability,router_undercoverage,router_coupled_risk,router_residual_pressure,prior_scale,mechanistic_selected_scale,scale_shrink,benefit_score,curvature_score,interference_score,mechanistic_expected_max_relative_delta_norm,mechanistic_reason,trust_risk_flags
27,59,instruct,math,0.5655936638444977,0.637854889478782,0.05,0.8339231892790829,0.0,0.25430057210909335,0.0,1.0,0.9876849578943367,0.012315042105663254,0.4272415415819622,0.5955130861903213,0.5561976997969801,0.139303354774506,route_important_fragile_boundary,high_load_expert|fragile_router_layer
24,113,instruct,math,0.5133021621268975,0.6789523527185288,0.0392231643279266,0.9099099082590628,0.0,0.2537117346761343,0.0,1.0,0.9893834835835824,0.010616516416417587,0.4547660946598073,0.5448482110066772,0.5473104100983823,0.1990266767310645,route_important_fragile_boundary,high_load_expert|fragile_router_layer
7,109,instruct,safety,0.7350372964887353,0.6292831220772809,0.0430990474492743,0.6567167527041571,0.0,0.251675347374792,0.0,1.0,0.9963536021349108,0.003646397865089246,0.3890237269819966,0.4660201624346781,0.3969788605945346,0.1736222674271261,balanced,high_load_expert|shared_mixed_expert
23,7,instruct,code,0.5025648542109535,0.6413009152389366,0.05,0.864864866751547,0.0,0.24957638981024136,0.0,1.0,0.9851614959684334,0.014838504031566613,0.5330174705695542,0.692329112830415,0.6754283222008953,0.2160413192308241,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
28,73,instruct,code,0.5045207201724856,0.6094121825788945,0.05,0.8947844602274361,0.0,0.24607717214631203,0.0,1.0,0.983206718095463,0.016793281904536994,0.5648421119019038,0.6999004690018922,0.7119397457667582,0.3131120344729934,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
46,75,instruct,safety,0.768726531046817,0.5734041716015348,0.05,0.7180635387189063,0.0,0.24578379291300959,0.0,1.0,0.9980366415478372,0.001963358452162778,0.4075948471708029,0.4048326049818618,0.3894288061606457,0.1900500125045695,balanced,high_load_expert|shared_mixed_expert
11,37,instruct,safety,0.5215839429735074,0.7150612239054778,0.0351509541706301,0.6853191602072622,0.1976201039219413,0.2455425079284021,0.17090478709425044,1.0,0.980004087783844,0.019995912216156042,0.4475898893677025,0.6047214294759204,0.6580548417207595,0.3456248468697832,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
28,50,instruct,general,0.5454632133254209,0.6094121825788945,0.05,0.8947844602274361,0.0,0.24483534939920854,0.0,1.0,0.9855687974201476,0.01443120257985242,0.4178652168594373,0.5795137165599358,0.5770854063725269,0.1680817228768128,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
18,71,instruct,math,0.464514658786245,0.7267264234701402,0.0391078749531843,0.8973962096945233,0.01306805283524548,0.24287156830557613,0.009355366118967057,1.0,0.9887702142627732,0.011229785737226772,0.4274957987839288,0.5418754806971051,0.5411697736040275,0.1343022976161335,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
12,100,instruct,safety,0.4901249239150724,0.7180486088801276,0.0337791466524588,0.790471981734179,0.09842458030850887,0.2408355336483091,0.0779988699451748,1.0,0.9831294369249256,0.016870563075074396,0.4470536549366499,0.5394598359795623,0.6168806034563882,0.3144510574787174,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
18,110,instruct,general,0.4324429209092721,0.7267264234701402,0.0391078749531843,0.8973962096945233,0.01306805283524548,0.2394155141419473,0.00948965289738327,1.0,0.981303932326181,0.01869606767381904,0.5075619355016053,0.5732570008010549,0.6792318145497814,0.3918167731031679,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
25,42,instruct,code,0.504803445650567,0.6884115111160187,0.0459238885889008,0.7764958971777393,0.03120000919904653,0.23860412836643136,0.025441868984780253,1.0,0.9900537377588572,0.009946262241142811,0.5608414836194531,0.578061858075402,0.6153698738435758,0.2656736817215012,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,123,instruct,code,0.4277077258577533,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.23812838594565097,0.0,1.0,0.9842467738521214,0.015753226147878552,0.6195100580171872,0.6611240524924253,0.705636833583858,0.4326410831939797,route_important_fragile_boundary,high_load_expert|fragile_router_layer
19,51,coder,safety,0.4402145482668978,0.6910587222117991,0.0435500875772565,0.936549160555976,0.0,0.23138503656723763,0.0,1.0,1.0,0.0,0.6972760637497426,0.521793047701638,0.6475058654340861,0.4329651544350875,route_important_fragile_boundary,high_load_expert|fragile_router_layer
25,77,instruct,safety,0.4798517695342288,0.6884115111160187,0.0459238885889008,0.7764958971777393,0.03120000919904653,0.22465032372140198,0.023841368793386712,1.0,0.9832569368571568,0.01674306314284324,0.4040073639915552,0.5748139305335965,0.592463045672172,0.2256488806086578,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
12,116,instruct,code,0.4394036358524674,0.7180486088801276,0.0337791466524588,0.790471981734179,0.09842458030850887,0.22390034927517938,0.07126893967086777,1.0,0.987828045617936,0.012171954382063976,0.5658683472866359,0.6097023124898902,0.6479084462787115,0.2893286508728446,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
9,49,instruct,safety,0.5783223011925038,0.638907282797794,0.0432279673922759,0.6618339212375192,0.012189534905389099,0.2238522731941639,0.010481244386086703,1.0,0.9893325594532586,0.010667440546741402,0.3836801304356861,0.612857624589989,0.4868110228041433,0.1830550597055998,balanced,high_load_expert|shared_mixed_expert
21,96,instruct,safety,0.5169477852514555,0.6384504703792714,0.0425089811096892,0.8183140979899989,0.0,0.22277982462698415,0.0,1.0,0.9860930502175588,0.013906949782441225,0.4012294934827538,0.5126347028700114,0.5507258770588394,0.2015790790951896,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
26,75,instruct,safety,0.5203687475738014,0.6268139173311607,0.05,0.7835499661653632,0.0,0.21839699786797506,0.0,1.0,0.9849315365421522,0.015068463457847847,0.3522750098057891,0.5752263970382188,0.5359588562709494,0.0904257085982054,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
30,64,instruct,legal,0.5144469345772874,0.6008843998759511,0.05,0.8502874603940248,0.0,0.21774362753514093,0.0,1.0,0.9856907795671896,0.014309220432810354,0.4364693833516533,0.5365160565905516,0.5804739484932785,0.2457938137081587,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
31,9,instruct,safety,0.6230729549811513,0.4995590033061621,0.05,0.8024251602694816,0.0,0.21710460539298812,0.0,1.0,0.9826360568639266,0.017363943136073368,0.4200313615739859,0.5758706889814349,0.6092734207580628,0.2664240239940799,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
28,84,instruct,safety,0.5084724566428191,0.6094121825788945,0.05,0.8947844602274361,0.0,0.21701868448835812,0.0,1.0,0.9874698032315472,0.012530196768452795,0.3740865418375291,0.4980614377037448,0.5137917611179152,0.1356137358778343,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
22,30,coder,safety,0.3977364488727806,0.6759821871522769,0.05,0.9789789719039208,0.0,0.21657378347984624,0.0,1.0,0.9976046324984924,0.002395367501507595,0.7088429847608497,0.5814480416429804,0.6826659417164188,0.4649152181332444,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
21,118,instruct,safety,0.4729141608299002,0.6384504703792714,0.0425089811096892,0.8183140979899989,0.0,0.21647137855256188,0.0,1.0,0.981140408377713,0.01885959162228701,0.4442316498974796,0.5881500851139821,0.6430354796220422,0.3211427066844405,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
24,50,instruct,math,0.4065290180018346,0.6789523527185288,0.0392231643279266,0.9099099082590628,0.0,0.21619827336507144,0.0,1.0,0.9815858171833816,0.01841418281661844,0.4792235575095314,0.6408315976984988,0.6724998607370593,0.2875578264183956,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
13,12,instruct,code,0.4209677215628268,0.7121989834961976,0.0383809671425183,0.7728592675927292,0.10032926119353558,0.21481081423769452,0.07155227101288236,1.0,0.9852559159860972,0.014744084013902814,0.6023182533500713,0.6260830695353249,0.6941310858699719,0.3830019286349411,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
16,73,instruct,code,0.4379927009517176,0.6523533636196356,0.05,0.7373787146523824,0.0,0.21130792733286305,0.0,1.0,0.9810441447079992,0.018955855292000834,0.57825456379965,0.7405079475174343,0.7429241988580257,0.3623405817262395,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
27,10,instruct,code,0.4317213824713472,0.637854889478782,0.05,0.8339231892790829,0.0,0.20908032139984836,0.0,1.0,0.983085789056848,0.01691421094315204,0.6113131375737253,0.6416440783795014,0.7275298952281272,0.4130989217928978,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
12,119,instruct,code,0.4105286006980595,0.7180486088801276,0.0337791466524588,0.790471981734179,0.09842458030850887,0.20884214946380983,0.06360729059898769,1.0,0.9895320000519454,0.010467999948054585,0.4702022828746768,0.6787322939516844,0.574199993776325,0.0,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
3,16,instruct,code,0.9294749587870412,0.4980506753143536,0.05,0.4350035465175917,0.0,0.20843229026753712,0.0,1.0,1.0,0.0,0.5707974834710206,0.4869702260808558,0.4440228964655353,0.2792267954588369,balanced,high_load_expert|shared_mixed_expert
21,49,instruct,safety,0.4529894853709505,0.6384504703792714,0.0425089811096892,0.8183140979899989,0.0,0.20746260158877164,0.0,1.0,0.981832688418074,0.01816731158192597,0.3787947229061877,0.6323653279943995,0.6003627662293067,0.1666641488138042,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,49,instruct,general,0.3813690623776479,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.20704055226603188,0.0,1.0,0.9813518154144468,0.018648184585553174,0.4148213736971566,0.6485714741356032,0.6394009353169423,0.1758206730060739,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,70,instruct,general,0.3641591398381925,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.20532220908613943,0.0,1.0,0.9781336421114186,0.021866357888581378,0.4257522796448999,0.7123603768420351,0.6945726970400217,0.2175814958851867,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
24,103,instruct,safety,0.3961118267971364,0.6789523527185288,0.0392231643279266,0.9099099082590628,0.0,0.20349089148781094,0.0,1.0,0.9814649352014994,0.018535064798500644,0.4237847936168907,0.5751691744376646,0.6315610486962142,0.268045294523039,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
16,83,instruct,safety,0.4855425187530302,0.6523533636196356,0.05,0.7373787146523824,0.0,0.2026153763241607,0.0,1.0,0.9859177524474574,0.014082247552542615,0.3971936721929125,0.5343714343278783,0.5495879266434592,0.1998159278259133,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
22,110,instruct,safety,0.3532228450081617,0.6759821871522769,0.05,0.9789789719039208,0.0,0.19908559066404907,0.0,1.0,0.9772008581952892,0.022799141804710765,0.3974180627612248,0.6939949250449845,0.6832002937777569,0.2263140180133103,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
12,113,instruct,math,0.4032601161468303,0.7180486088801276,0.0337791466524588,0.790471981734179,0.09842458030850887,0.19870837219111245,0.06264414152448845,1.0,0.9874384622414646,0.012561537758535413,0.4641188859392198,0.5857149905483516,0.5783074975290714,0.233026080897252,route_important_fragile_boundary,high_load_expert|fragile_router_layer
17,58,instruct,safety,0.3671712846964862,0.7522782693160674,0.0261472695616825,0.8117491346958773,0.17082066316788658,0.19665660535605958,0.09790335845770683,1.0,0.9815839573229488,0.018416042677051214,0.3192,0.6634310758694353,0.5609481501167564,0.0,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
6,80,instruct,code,0.6048112503458717,0.6117067901140328,0.0398315481941232,0.5381438585904866,0.06373532443687469,0.19600523883842852,0.058253906859265486,1.0,0.9977271985675772,0.0022728014324228107,0.6046502859995325,0.5316653795115851,0.5112106138579441,0.3705438757842458,balanced,high_load_expert|shared_mixed_expert
