alpha,beta,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.03125,-0.25,2.3947330474853517,3.2503252983093263,0.2520833333333333,0.0171875,2.822529172897339,3.2503252983093263,0.13463541666666667,0.0171875
0.03125,-0.15625,2.3939947128295898,3.0794589519500732,0.2520833333333333,0.05625,2.7367268323898317,3.0794589519500732,0.15416666666666667,0.05625
0.03125,-0.0625,2.4327884674072267,2.866657257080078,0.24895833333333334,0.115625,2.649722862243652,2.866657257080078,0.18229166666666669,0.115625
0.03125,0.03125,2.5251183191935223,2.636989688873291,0.2,0.19375,2.5810540040334065,2.636989688873291,0.19687500000000002,0.19375
0.03125,0.125,2.6822261810302734,2.4161484241485596,0.12395833333333334,0.2765625,2.5491873025894165,2.6822261810302734,0.20026041666666666,0.12395833333333334
0.03125,0.21875,2.9071446736653646,2.222840404510498,0.051041666666666666,0.31875,2.5649925390879313,2.9071446736653646,0.18489583333333331,0.051041666666666666
0.03125,0.3125,3.192811902364095,2.066885805130005,0.022916666666666665,0.334375,2.62984885374705,3.192811902364095,0.1786458333333333,0.022916666666666665
0.03125,0.40625,3.523121706644694,1.9487098693847655,0.007291666666666667,0.346875,2.73591578801473,3.523121706644694,0.17708333333333331,0.007291666666666667
0.03125,0.5,3.8782248814900715,1.8627150058746338,0.0010416666666666667,0.3609375,2.8704699436823526,3.8782248814900715,0.18098958333333334,0.0010416666666666667
0.03125,0.59375,4.240550931294759,1.8015905141830444,0.0,0.3671875,3.021070722738902,4.240550931294759,0.18359375,0.0
0.03125,0.6875,4.59860159556071,1.7584475517272948,0.0,0.36875,3.178524573644002,4.59860159556071,0.184375,0.0
0.03125,0.78125,4.945972569783529,1.7280412912368774,0.0,0.365625,3.3370069305102033,4.945972569783529,0.1828125,0.0
0.03125,0.875,5.280544026692708,1.70672607421875,0.0,0.3703125,3.493635050455729,5.280544026692708,0.18515625,0.0
0.03125,0.96875,5.602172724405924,1.6923157215118407,0.0,0.3671875,3.647244222958882,5.602172724405924,0.18359375,0.0
0.03125,1.0625,5.911814371744792,1.6837360858917236,0.0,0.378125,3.797775228818258,5.911814371744792,0.1890625,0.0
0.03125,1.15625,6.210558573404948,1.680667805671692,0.0,0.3703125,3.94561318953832,6.210558573404948,0.18515625,0.0
0.03125,1.25,6.499789428710938,1.6830833196640014,0.0,0.3734375,4.091436374187469,6.499789428710938,0.18671875,0.0
0.125,-0.25,2.3283183415730795,3.473042106628418,0.25416666666666665,0.00625,2.900680224100749,3.473042106628418,0.13020833333333331,0.00625
0.125,-0.15625,2.316731897989909,3.300827217102051,0.271875,0.0171875,2.80877955754598,3.300827217102051,0.14453125,0.0171875
0.125,-0.0625,2.339263979593913,3.0734596252441406,0.2760416666666667,0.0625,2.7063618024190266,3.0734596252441406,0.16927083333333334,0.0625
0.125,0.03125,2.4115948994954426,2.8141201972961425,0.246875,0.1375,2.6128575483957928,2.8141201972961425,0.1921875,0.1375
0.125,0.125,2.5491881052652996,2.5547132015228273,0.18958333333333333,0.215625,2.5519506533940635,2.5547132015228273,0.20260416666666667,0.18958333333333333
0.125,0.21875,2.761426067352295,2.3217046737670897,0.09375,0.2890625,2.5415653705596926,2.761426067352295,0.19140625,0.09375
0.125,0.3125,3.0462900161743165,2.130925512313843,0.035416666666666666,0.33125,2.5886077642440797,3.0462900161743165,0.18333333333333332,0.035416666666666666
0.125,0.40625,3.389471435546875,1.986574363708496,0.0125,0.346875,2.6880228996276854,3.389471435546875,0.1796875,0.0125
0.125,0.5,3.7684253692626952,1.883196473121643,0.004166666666666667,0.3609375,2.8258109211921694,3.7684253692626952,0.18255208333333334,0.004166666666666667
0.125,0.59375,4.160774993896484,1.8114425420761109,0.0010416666666666667,0.3671875,2.9861087679862974,4.160774993896484,0.18411458333333333,0.0010416666666666667
0.125,0.6875,4.54989013671875,1.762317419052124,0.0,0.3703125,3.156103777885437,4.54989013671875,0.18515625,0.0
0.125,0.78125,4.92668940226237,1.7287578582763672,0.0,0.36875,3.3277236302693685,4.92668940226237,0.184375,0.0
0.125,0.875,5.287434260050456,1.7058945894241333,0.0,0.3609375,3.4966644247372947,5.287434260050456,0.18046875,0.0
0.125,0.96875,5.631704839070638,1.6908322811126708,0.0,0.3671875,3.6612685600916546,5.631704839070638,0.18359375,0.0
0.125,1.0625,5.960544459025065,1.6819924354553222,0.0,0.36875,3.821268447240193,5.960544459025065,0.184375,0.0
0.125,1.15625,6.275766245524088,1.678706169128418,0.0,0.36875,3.977236207326253,6.275766245524088,0.184375,0.0
0.125,1.25,6.578894551595052,1.6808670997619628,0.0,0.3671875,4.129880825678508,6.578894551595052,0.18359375,0.0
0.21875,-0.25,2.2698195139567057,3.721673011779785,0.26458333333333334,0.0046875,2.9957462628682454,3.721673011779785,0.13463541666666667,0.0046875
0.21875,-0.15625,2.2494074503580728,3.555637741088867,0.2791666666666667,0.00625,2.90252259572347,3.555637741088867,0.14270833333333333,0.00625
0.21875,-0.0625,2.2567750930786135,3.321895790100098,0.29583333333333334,0.021875,2.7893354415893556,3.321895790100098,0.15885416666666666,0.021875
0.21875,0.03125,2.307784589131673,3.038400888442993,0.28854166666666664,0.0734375,2.673092738787333,3.038400888442993,0.18098958333333331,0.0734375
