law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00223_b0.70_m0.65_h0.00_s0.00_r0.03_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.0,0.03,0.05,0.05,381,0.7,0.6957404318677379,0.65,0,181,610,121.62061756652666,119.74674736643152,0.9845924956015774,1031.812830502107,0.8807730128854263,0.983601971540695,0.5048081346996643,972.1889231008539
grid_00151_b0.70_m0.60_h0.00_s0.00_r0.03_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.0,0.03,0.05,0.05,390,0.7,0.6957404318677379,0.6499999999999999,0,181,610,121.62061756652666,119.66871642356782,0.9839509025524299,1024.9395053380963,0.874905825412771,0.9825591049667082,0.501040291741906,972.1958877743641
grid_00234_b0.70_m0.65_h0.00_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.03,0.03,0.05,0.0,377,0.7,0.7,0.65,0,218,610,121.62061756652666,119.77777527183564,0.9848476160410632,1033.3072291104963,0.8820486570001852,0.9838360380034269,0.5048081346996643,1157.185096336179
grid_00162_b0.70_m0.60_h0.00_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.03,0.03,0.05,0.0,380,0.7,0.7,0.6499999999999999,0,218,610,121.62061756652666,119.74103216385714,0.9845455035480198,1028.810662349932,0.8782103109976303,0.9832076034676198,0.501040291741906,1157.1873002400373
grid_00146_b0.70_m0.60_h0.00_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.0,0.0,0.05,0.0,363,0.7000000000000001,0.7,0.6499999999999999,0,220,610,121.62061756652666,119.98593884780665,0.9865591973513386,1039.2440855493564,0.8871164588128245,0.9846953308386851,0.5252841768261917,1167.1559325117862
grid_00218_b0.70_m0.65_h0.00_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.0,0.0,0.05,0.0,363,0.7000000000000001,0.7,0.65,0,220,610,121.62061756652666,119.98593884780665,0.9865591973513386,1039.2440855493564,0.8871164588128245,0.9846953308386851,0.5252841768261918,1167.1559325117862
grid_00158_b0.70_m0.60_h0.00_s0.03_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.03,0.0,0.05,0.0,363,0.7000000000000001,0.7,0.6499999999999999,0,220,610,121.62061756652666,119.9817118951355,0.9865244421202295,1039.1493809620706,0.8870356173634725,0.9846805834764115,0.5252841768261917,1167.1565467749588
grid_00230_b0.70_m0.65_h0.00_s0.03_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.03,0.0,0.05,0.0,363,0.7000000000000001,0.7,0.65,0,220,610,121.62061756652666,119.9817118951355,0.9865244421202295,1039.1493809620708,0.8870356173634727,0.9846805834764115,0.5252841768261918,1167.1565467749588
grid_00222_b0.70_m0.65_h0.00_s0.00_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.65,0.0,0.0,0.03,0.05,0.0,376,0.7,0.7,0.65,0,220,610,121.62061756652666,119.78202337000363,0.9848825451365817,1033.3959265015417,0.8821243706044715,0.9838500052468823,0.5048081346996643,1167.184473467873
grid_00150_b0.70_m0.60_h0.00_s0.00_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.6,0.0,0.0,0.03,0.05,0.0,378,0.7,0.7,0.6499999999999999,0,220,610,121.62061756652666,119.74624416862832,0.9845883581632608,1028.9334908859732,0.8783151595288359,0.9832278086824221,0.501040291741906,1167.1865479962637
