method,dispatch_mode,general_loss,code_loss,general_acc,code_acc,avg_loss,worst_loss,avg_acc,worst_acc
unified_output_projection_calibrated_seed_average,soft_all,0.5757991409301758,0.6305874443054199,0.8625,0.8075,0.6031932926177979,0.6305874443054199,0.835,0.8075
unified_output_projection_calibrated_seed_average,hard_top1,0.5021592140197754,0.6258025360107422,0.795,0.5925,0.5639808750152588,0.6258025360107422,0.6937500000000001,0.5925
unified_output_projection_calibrated_seed_average,hard_top2,0.5188630485534668,0.6275963020324707,0.86,0.6475,0.5732296752929688,0.6275963020324707,0.7537499999999999,0.6475
unified_moe_average,soft_all,0.5809571838378906,0.6337476539611816,0.86,0.785,0.6073524188995361,0.6337476539611816,0.8225,0.785
unified_moe_average,hard_top1,0.5128693199157714,0.6269485855102539,0.7775,0.6225,0.5699089527130127,0.6269485855102539,0.7,0.6225
unified_moe_average,hard_top2,0.5395306015014648,0.6240966606140137,0.8525,0.69,0.5818136310577393,0.6240966606140137,0.77125,0.69
unified_output_projection_moe_average,soft_all,0.580613956451416,0.6357795906066894,0.8625,0.795,0.6081967735290528,0.6357795906066894,0.8287500000000001,0.795
unified_output_projection_moe_average,hard_top1,0.5131898880004883,0.6340073204040527,0.7825,0.62,0.5735986042022705,0.6340073204040527,0.7012499999999999,0.62
unified_output_projection_moe_average,hard_top2,0.5350325775146484,0.62960355758667,0.84,0.685,0.5823180675506592,0.62960355758667,0.7625,0.685
unified_moe_bias_capacity_average,soft_all,0.5842380714416504,0.6340069007873536,0.8475,0.77,0.6091224861145019,0.6340069007873536,0.8087500000000001,0.77
unified_moe_bias_capacity_average,hard_top1,0.5453070259094238,0.6297105979919434,0.7425,0.6,0.5875088119506836,0.6297105979919434,0.67125,0.6
unified_moe_bias_capacity_average,hard_top2,0.5420678901672363,0.6273846435546875,0.82,0.6825,0.5847262668609619,0.6273846435546875,0.75125,0.6825
route_aware_expert_average,soft_all,0.5956292724609376,0.6512312316894531,0.83,0.75,0.6234302520751953,0.6512312316894531,0.79,0.75
route_aware_expert_average,hard_top1,0.508664722442627,0.6395221519470214,0.795,0.615,0.5740934371948242,0.6395221519470214,0.7050000000000001,0.615
route_aware_expert_average,hard_top2,0.5348030281066894,0.6392498397827149,0.84,0.65,0.5870264339447022,0.6392498397827149,0.745,0.65
