sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.5,4,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6147896094322205,0.5947569398880005,0.002019878621213138,1.0530345287322997,0.07061091578006744,1.2067039928436278,1.0197854738235475,router_bias_only_capacity_calibration
0.5,5,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6148224124908447,0.5946718473434448,0.002285816891118884,1.0532099103927612,0.07009712237119675,1.2056373052597047,1.019850580215454,router_bias_only_capacity_calibration
0.5,6,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6148171195983887,0.5946778745651246,0.0022764880629256366,1.0533634328842163,0.07023465716838836,1.2059371156692504,1.0198987302780151,router_bias_only_capacity_calibration
0.5,7,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.614795964717865,0.594666154384613,0.002094819081015885,1.0533773441314698,0.07115995052456855,1.2064320898056031,1.019960636138916,router_bias_only_capacity_calibration
1.0,0,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6140645742416382,0.5921673083305359,7.575296598952264e-05,1.0595373888015747,0.10565188533067703,1.292506814956665,1.0516075172424317,router_bias_only_capacity_calibration
1.0,1,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6144654479026794,0.5930312433242798,0.00047121221106499435,1.0551504297256469,0.08993977415561676,1.251624719619751,1.0396905002593995,router_bias_only_capacity_calibration
1.0,2,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6147087554931641,0.5936246128082275,0.0011740729780867695,1.0534110774993897,0.08127850300073623,1.228329951286316,1.0343854913711548,router_bias_only_capacity_calibration
1.0,3,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6149230132102966,0.5953576002120972,0.002146826511248946,1.0526947727203368,0.06928421780467034,1.2029349489212036,1.0299985303878785,router_bias_only_capacity_calibration
1.0,4,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6151392755508422,0.5968504681587219,0.0032427253630012273,1.0528177251815796,0.06435567501187324,1.1817100324630738,1.0304419431686402,router_bias_only_capacity_calibration
1.0,5,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6153263821601868,0.5972221784591675,0.003948052642866969,1.0531909971237183,0.06393311274051666,1.1703116750717164,1.031457317352295,router_bias_only_capacity_calibration
1.0,6,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6154432673454284,0.5972676815986633,0.004090076711028815,1.0532484664916992,0.06456964069604873,1.169401846885681,1.0313308925628661,router_bias_only_capacity_calibration
1.0,7,1000,hard_top2,0.5,1.0,1.0,0.5,0.1,1.25,0.6155048990249634,0.5970040559768677,0.003908950552344323,1.0530856561660766,0.06479711174964904,1.1730262317657472,1.0302860221862793,router_bias_only_capacity_calibration
